768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,769,770,771,768,768,768,768,768,768,768,768,372,371,372,304,370,370,370,370
800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,801,802,803,800,800,800,800,800,800,800,800,686,372,372,304,370,372,372,372
832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,833,802,835,832,832,832,832,832,832,832,832,718,371,370,304,371,371,370,370
864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,865,802,867,864,864,864,864,864,864,864,864,371,370,372,304,371,371,370,370
800,800,800,800,800,800,899,768,768,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,768,768,896,370,304,372,768,768,768
800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,928,372,304,372,800,800,800
832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,960,371,304,371,832,832,832
864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,372,370,304,372,864,864,864
370,370,372,372,370,370,370,372,370,370,371,371,370,370,370,372,371,370,371,372,370,370,370,370,370,372,370,370,370,372,304,372,370,370,372
370,372,370,372,372,372,370,372,372,370,370,371,370,371,371,370,372,372,371,371,372,372,371,370,371,372,370,371,372,371,304,371,372,370,372
370,372,372,370,370,370,371,371,370,371,371,372,370,371,370,370,370,370,370,371,371,370,372,371,371,371,372,372,372,370,304,371,371,370,372
370,371,372,371,371,371,372,372,372,370,370,371,372,371,371,371,372,372,372,370,372,372,371,370,371,372,370,372,372,370,304,371,370,371,371
371,372,371,372,371,372,370,372,370,371,370,371,372,371,372,371,371,371,370,370,372,372,372,370,371,371,372,370,371,372,304,372,370,370,372
372,370,370,372,370,371,371,370,372,372,370,370,370,371,371,370,371,371,371,372,372,372,370,372,370,371,371,371,371,370,304,372,370,371,372
370,372,372,372,372,371,370,370,372,372,371,370,371,370,370,371,370,371,372,370,371,371,371,370,372,372,371,371,370,370,304,371,371,372,372
372,370,371,372,372,372,370,371,371,370,371,370,372,371,370,370,370,370,371,372,371,372,371,371,370,371,370,370,370,372,304,372,370,371,370
371,371,371,371,372,372,371,371,371,370,370,372,371,372,371,371,371,371,371,370,371,372,371,371,371,371,370,372,370,372,304,371,370,370,370
372,371,370,371,371,371,370,370,372,372,371,370,370,371,370,371,370,372,370,372,371,371,372,371,372,370,372,371,304,304,304,304,304,304,304
372,372,371,372,371,372,371,372,371,371,371,370,370,370,371,370,370,371,370,370,370,370,370,372,372,304,304,304,304,304,304,304,304,304,304
372,372,370,370,371,371,371,372,371,372,372,372,371,370,372,371,371,371,372,371,370,370,370,370,304,304,304,304,304,304,304,304,304,304,304
